x,y,test(x)
2.36,0.252643,0.241513
2.38,0.24667,0.234327
2.4,0.240741,0.227233
2.42,0.234858,0.220238
2.44,0.229023,0.213345
2.46,0.223238,0.206559
2.48,0.217504,0.199884
2.5,0.211825,0.193323
2.52,0.206201,0.186879
2.54,0.200635,0.180557
2.56,0.195127,0.174357
2.58,0.189679,0.168284
2.6,0.184293,0.162338
2.62,0.178969,0.156522
2.64,0.173708,0.150837
2.66,0.168513,0.145284
2.68,0.163382,0.139864
2.7,0.158318,0.134577
2.72,0.15332,0.129425
2.74,0.148391,0.124407
2.76,0.143529,0.119524
2.78,0.138735,0.114774
2.8,0.13401,0.110158
2.82,0.129354,0.105674
2.84,0.124768,0.101323
2.86,0.12025,0.0971016
2.88,0.115803,0.0930103
2.9,0.111424,0.0890472
2.92,0.107115,0.0852109
2.94,0.102876,0.0814995
2.96,0.0987051,0.0779115
2.98,0.0946033,0.0744449
3,0.0905704,0.0710976
3.02,0.0866057,0.0678676
3.04,0.0827093,0.0647528
3.06,0.0788801,0.0617508
3.08,0.0751184,0.0588594
3.1,0.0714234,0.0560762
3.12,0.0677945,0.0533988
3.14,0.0642316,0.0508246
3.16,0.0607336,0.0483512
3.18,0.0573004,0.0459761
3.2,0.0539311,0.0436967
3.22,0.0506251,0.0415104
3.24,0.0473816,0.0394146
3.26,0.0442002,0.0374067
3.28,0.0410806,0.0354843
3.3,0.038021,0.0336446
3.32,0.0350215,0.0318852
3.34,0.032081,0.0302034
3.36,0.029199,0.0285969
3.38,0.0263746,0.027063
3.4,0.023607,0.0255993
3.42,0.0208956,0.0242033
3.44,0.0182395,0.0228728
3.46,0.0156376,0.0216052
3.48,0.0130894,0.0203984
3.5,0.0105942,0.0192499
3.52,0.00815094,0.0181576
3.54,0.0057593,0.0171194
3.56,0.00341791,0.016133
3.58,0.00112605,0.0151963
3.6,-0.00111669,0.0143074
3.62,-0.00331175,0.0134642
3.64,-0.00545925,0.0126649
3.66,-0.00756037,0.0119075
3.68,-0.00961608,0.0111903
3.7,-0.0116268,0.0105114
3.72,-0.0135937,0.00986912
3.74,-0.0155173,0.00926185
3.76,-0.0173982,0.00868797
3.78,-0.0192376,0.0081459
3.8,-0.0210359,0.00763416
3.82,-0.0227942,0.0071513
3.84,-0.0245129,0.00669592
3.86,-0.0261933,0.00626668
3.88,-0.0278355,0.00586229
3.9,-0.0294406,0.00548149
3.92,-0.0310092,0.0051231
3.94,-0.0325419,0.00478598
3.96,-0.0340402,0.00446901
3.98,-0.0355036,0.00417114
